משרד,קוד תקציבי,כותרת הסעיף,תמה,רמת ודאות,נימוק
economy,003830,המדען הראשי,"מחקר, פיתוח וחדשנות",גבוהה,"לשכת המדען הראשי היא זרוע המו""פ של המשרד; סעיפי הבנים שלה (רשות החדשנות, מענקי מחקר ופיתוח) מאשרים זאת."
economy,00383001,הפעלת הרשות לחדשנות,"מחקר, פיתוח וחדשנות",גבוהה,"הכותרת נוקבת ברשות החדשנות — גוף המו""פ הממשלתי המרכזי."
economy,00383002,מענקי מחקר ופיתוח,"מחקר, פיתוח וחדשנות",גבוהה,הכותרת מפורשת: מענקי מחקר ופיתוח.
economy,00383004,"מו""פ בין-לאומי","מחקר, פיתוח וחדשנות",גבוהה,הכותרת מפורשת: מחקר ופיתוח בין-לאומי.
economy,003840,עידוד המגזר העסקי,"העברות, תמיכות ומענקים",גבוהה,"""עידוד"" בהקשר תקציבי הוא תמריצים ומענקים לעסקים — כסף שמועבר לגורם חיצוני."
economy,00384001,קידום השקעות ועידוד,"העברות, תמיכות ומענקים",גבוהה,קידום השקעות ועידוד הם מסלולי מענקים ותמריצים למשקיעים.
economy,00384004,קידום הייצוא ועידוד,"העברות, תמיכות ומענקים",גבוהה,תמריצים ותמיכות ליצואנים — העברה לגורם חיצוני.
economy,00384009,פעולות כלליות לקידום,"העברות, תמיכות ומענקים",בינונית,"הכותרת עמומה: ""פעולות"" יכול להיות גם פעילות ישירה של המשרד. שויך לתמיכות מפני שהסעיף יושב תחת ""עידוד המגזר העסקי""; ייתכן שחלקו פעילות ישירה."
economy,003870,שכר ותפעול המשרד,"מטה, שכר ותפעול",גבוהה,הכותרת מפורשת: שכר ותפעול.
economy,00387001,שכר,"מטה, שכר ותפעול",גבוהה,"שכר עובדי המשרד, תחת ""שכר ותפעול המשרד""."
economy,00387002,תפעול,"מטה, שכר ותפעול",גבוהה,"תפעול המשרד, תחת ""שכר ותפעול המשרד""."
economy,003890,רשות הרגולציה,רשויות סטטוטוריות ורגולציה,גבוהה,הכותרת נוקבת ברשות אסדרה.
economy,00389001,שכר ופעולות,רשויות סטטוטוריות ורגולציה,גבוהה,"שכר ופעולות של רשות הרגולציה (סעיף האב 003890); התמה נגזרת מהגוף הממומן, לא מסוג ההוצאה."
economy,003899,חשבון מעבר,רזרבות וסעיפים טכניים,גבוהה,חשבון מעבר הוא סעיף חשבונאי טכני.
economy,00389999,חשבון מעבר,רזרבות וסעיפים טכניים,גבוהה,חשבון מעבר הוא סעיף חשבונאי טכני.
education,002060,יחידות מטה,"מטה, שכר ותפעול",גבוהה,הכותרת מפורשת: יחידות מטה.
education,00206001,פעילויות מטה מרכזיות -,"מטה, שכר ותפעול",גבוהה,"פעילויות מטה, תחת ""יחידות מטה""."
education,00206002,המשרד להשכלה גבוהה,"מטה, שכר ותפעול",בינונית,"יחידה שמופיעה תחת ""יחידות מטה"" ולכן שויכה למטה; ייתכן שמדובר בתקצוב ייעודי להשכלה גבוהה שראוי לתמה נפרדת. עיקר תקצוב ההשכלה הגבוהה נמצא בסעיף נפרד (ות""ת, סעיף 21) שאינו במאגר זה."
education,002061,חינוך מיוחד,שירותים ופעולות לציבור,גבוהה,שירות חינוך ישיר לתלמידים.
education,00206101,חינוך מיוחד,שירותים ופעולות לציבור,גבוהה,שירות חינוך ישיר לתלמידים.
education,002062,קדם יסודי,שירותים ופעולות לציבור,גבוהה,שלב חינוך במערכת הרשמית — שירות ישיר.
education,00206201,קדם יסודי,שירותים ופעולות לציבור,גבוהה,שלב חינוך במערכת הרשמית — שירות ישיר.
education,00206202,הגיל הרך,שירותים ופעולות לציבור,גבוהה,שירות חינוך לגיל הרך.
education,002063,יסודי וחטיבות ביניים,שירותים ופעולות לציבור,גבוהה,"שלבי חינוך במערכת הרשמית. חלק מסעיפי הבנים הם העברות לרשתות מוכרות, והם מסווגים בנפרד."
education,00206301,יסודי וחטיבת ביניים,שירותים ופעולות לציבור,גבוהה,החינוך הרשמי בשלבי היסודי וחטיבות הביניים.
education,00206302,החינוך העצמאי,"העברות, תמיכות ומענקים",גבוהה,רשת חינוך מוכרת שאינה רשמית; המדינה מממנת אותה בהעברה תקציבית ואינה מפעילה אותה ישירות.
education,00206303,מעין החינוך התורני,"העברות, תמיכות ומענקים",גבוהה,רשת חינוך מוכרת שאינה רשמית הממומנת בהעברה.
education,00206304,מוכר שאינו רשמי,"העברות, תמיכות ומענקים",גבוהה,הכותרת עצמה מציינת מוסדות מוכרים שאינם רשמיים — מימון בהעברה למוסדות חיצוניים.
education,00206305,מוסדות הפטור,"העברות, תמיכות ומענקים",גבוהה,מוסדות פטור הם מוסדות חיצוניים למערכת הרשמית הממומנים בהעברה.
education,002064,חטיבה עליונה,שירותים ופעולות לציבור,גבוהה,שלב חינוך במערכת הרשמית.
education,00206401,חטיבה עליונה,שירותים ופעולות לציבור,גבוהה,שלב חינוך במערכת הרשמית.
education,002065,"שירותי עזר, הסעות",שירותים ופעולות לציבור,גבוהה,"שירותי תמך ישירים לתלמידים (הסעות, עזר)."
education,00206501,"שירותי עזר, הסעות",שירותים ופעולות לציבור,גבוהה,שירותי תמך ישירים לתלמידים.
education,002066,חינוך התיישבותי,שירותים ופעולות לציבור,גבוהה,זרם חינוך המנוהל על ידי מינהל ייעודי במשרד — שירות ישיר.
education,00206601,המינהל חינוך התיישבותי,שירותים ופעולות לציבור,גבוהה,מינהל המפעיל את החינוך ההתיישבותי.
education,002067,פעולות משלימות לקידום,שירותים ופעולות לציבור,בינונית,"""פעולות משלימות"" הן תוכניות חינוכיות (למשל הארכת יום הלימודים בסעיף הבן) — שירות ישיר. הכותרת עמומה ולכן הוודאות בינונית."
education,00206701,פעילויות ופרוייקטים,שירותים ופעולות לציבור,בינונית,"כותרת גנרית תחת ""פעולות משלימות לקידום""; שויך לשירותים על סמך ההקשר, ייתכן שכולל גם תמיכות."
education,00206702,הארכת יום הלימודים,שירותים ופעולות לציבור,גבוהה,תוכנית חינוכית ישירה לתלמידים.
education,00206703,מינהל החינוך הדתי,שירותים ופעולות לציבור,בינונית,מינהל המפעיל את זרם החינוך הממלכתי-דתי. אפשר לקרוא אותו גם כמטה; שויך לשירותים מפני שהחינוך הממלכתי-דתי הוא חלק מהמערכת הרשמית.
education,002068,מינהל עובדי הוראה,הכשרת כוח אדם מקצועי,גבוהה,המינהל אחראי להכשרה ותנאי שירות של עובדי הוראה (ראו סעיף הבן).
education,00206801,תנאי שירות והכשרת,הכשרת כוח אדם מקצועי,גבוהה,הכותרת מפורשת: תנאי שירות והכשרת עובדי הוראה.
education,002069,תמיכה בנושאי יהדות,"העברות, תמיכות ומענקים",גבוהה,"הכותרת פותחת ב""תמיכה"" — תמיכות במוסדות (תרבות יהודית, מוסדות תורניים בסעיפי הבנים)."
education,00206901,תרבות יהודית,"העברות, תמיכות ומענקים",גבוהה,"תמיכות בתחום התרבות היהודית, תחת סעיף ""תמיכה בנושאי יהדות""."
education,00206902,מוסדות תורניים,"העברות, תמיכות ומענקים",גבוהה,תמיכות במוסדות תורניים — העברה למוסדות חיצוניים.
education,002070,רזרבות,רזרבות וסעיפים טכניים,גבוהה,הכותרת מפורשת: רזרבות.
education,00207001,רזרבה להתייקרויות,רזרבות וסעיפים טכניים,גבוהה,רזרבה חשבונאית.
education,00207002,רזרבה לעמידה במגבלה,רזרבות וסעיפים טכניים,גבוהה,רזרבה פיסקלית טכנית.
education,002099,חשבון מעבר,רזרבות וסעיפים טכניים,גבוהה,חשבון מעבר הוא סעיף חשבונאי טכני.
education,00209999,חשבון מעבר,רזרבות וסעיפים טכניים,גבוהה,חשבון מעבר הוא סעיף חשבונאי טכני.
environment,002611,שכר ותפעול,"מטה, שכר ותפעול",גבוהה,הכותרת מפורשת: שכר ותפעול.
environment,00261101,שכר ותפעול,"מטה, שכר ותפעול",גבוהה,הכותרת מפורשת: שכר ותפעול.
environment,002612,פעולות,שירותים ופעולות לציבור,בינונית,"""פעולות יחידות המשרד"" (סעיף הבן) — פעילות סביבתית ישירה. הכותרת גנרית ולכן הוודאות בינונית."
environment,00261201,פעולות יחידות המשרד,שירותים ופעולות לציבור,בינונית,פעילות היחידות המקצועיות של המשרד; עשוי לכלול גם רכיבי מטה.
environment,002613,קרנות,קרנות ומקורות ייעודיים,גבוהה,"הכותרת מפורשת: קרנות (שמירת ניקיון, מניעת זיהום ים — ראו סעיפי הבנים)."
environment,00261301,הטמנה - הקרן לשמירת,קרנות ומקורות ייעודיים,גבוהה,היטל הטמנה של הקרן לשמירת הניקיון — מקור ייעודי בחוק.
environment,00261302,חשבון כללי - הקרן,קרנות ומקורות ייעודיים,גבוהה,חשבון של הקרן לשמירת הניקיון.
environment,00261303,חשבון פקדון - הקרן,קרנות ומקורות ייעודיים,גבוהה,חשבון פיקדון של קרן ייעודית (חוק הפיקדון).
environment,00261304,"קרן למניעת זיהום ים,",קרנות ומקורות ייעודיים,גבוהה,קרן ייעודית בחוק למניעת זיהום ים.
environment,002614,"פרוייקטים מקק""ל",קרנות ומקורות ייעודיים,גבוהה,"פרויקטים סביבתיים במימון ייעודי מקק""ל — מקור חיצוני מיועד."
environment,00261401,פרוייקטים סביבתיים,קרנות ומקורות ייעודיים,בינונית,"פרויקטים סביבתיים תחת סעיף המימון מקק""ל; מהות הפעילות היא שירות סביבתי, אך מקור המימון הייעודי הוא המאפיין המבני ולכן שויך לקרנות."
